Index,movie,title,body,sentiment,label,GB_right,NB_right,SVM_right,DT_right,LR_right
26,Kong: Skull Island,WORST FILM EVER!,"Terrible actors, camera always focus on Tom Hiddleston like if the film was a perfume or watch commercial.Complete destroyed King Kong's legacy.",0.0,negative,0,1,1,1,1
27,Kong: Skull Island,Five Stars,"my grandson loves this movie, had to watch it 12 times in a month,",2.0,positive,1,1,1,1,1
28,Spectre,but not the best Bond I've ever seen,"It was ok, but not the best Bond I've ever seen.  Q  was great though!",1.0,neutral,1,1,1,1,1
29,John Wick Chapter 2,Four Stars,Interesting and enjoyable entertainment,2.0,positive,0,1,1,0,1
30,Blade Runner 2049,Splendid!,"Some people say that like the original blade runner, it's too long and slow. It is long and slow, make no mistake. But that adds to the appeal. I feel that this film explores at greater length the issues raised in the source novel 'Do androids dream of electric sheep'. The acting, visual effects and soundtrack are on point. It's a work of art, and in my opinion will be regarded as a classic in time just like blade runner.To sum up, if you like blade runner, you'll like blade runner 2049. If you hate blade runner, you'll hate blade runner 2049.Also at £9.99, the 4k version costs the same as the HD version, so of course I'll go for 4k!",2.0,positive,0,0,0,0,0
31,The Hunger Games (4K UHD),Hunger Games,"This was for Christmas  for my Grandson, and I know he wanted to watch it as he has read the books and thoroughly enjoyed them, so hopefully he will like his present.",2.0,positive,1,1,1,1,1
32,The Tomorrow War,Why was this made?,This film has a terrible story. It starts with the aliens being impossible to kill and by the end people can jump on them for some cowboy times. Nonsensical and a complete waste of time - forced 'marvel style' humour and action that hits as hard as a fluffy flannel. Another 'why did they make this?' type of film. The world is worse off having had this made and things will never be the same again. Genuinely questioning every decision I've made in my life that has led me to this point. What am I doing? Why am I writing this review? It's all time I'll never get back. True depression has sunk in. Goodbye everyone.,0.0,negative,1,1,1,1,1
33,The Hunger Games (4K UHD),The Hunger Games,"As a product, this is great. As a film it's ok. I saw it in the cinema with friends and then, of course bought it on dvd. I've watched it once since I bought it and that's it. It's not the sort of film you (or I, anyway) could watch over and over.",2.0,positive,1,1,1,1,1
34,Inferno,Not so enjoyable for those who've read the book.,"If I hadn't read the book I might have enjoyed this film, but I did spend most of it shaking my head. I was looking forward to a clever film, but was disappointed by the dumbed down plot, the unnecessary violence, the nonexistent romantic subplot and the change of ending. I have given three stars, because if you haven't read the book it's not too bad.",1.0,neutral,0,0,0,0,0
35,Spectre,Three Stars,better than your average Bond farce,1.0,neutral,1,1,1,1,1
36,Escape Plan II,Don’t bother,Fell asleep three times. The plot is poor and the acting is terrible..,0.0,negative,1,1,1,1,1
37,The Tomorrow War,Ok action flick a plot full of holes,"The monsters are generic monsters the acting is average but the important part for this type of movie the action is fast and there is lots of it. The world goverment is sending people to a future war to fight Aliens why arent they just getting ready to fight it when it comes round here don't know, Why arent the people of the future just evacuating to the past don't know. Why don't they take intel gathered from the future seriously don't know. Why not seriously train soldier going to fight in the future war instead of just drafting and deploying civis don't know. Why are the aliens here don't know. If your expecting answer to question you came to the wrong place if you want to see people run from CGI monster and stuff blow up this is where to be!!!!",1.0,neutral,0,1,0,1,0
38,London Has Fallen,Pathetic storyline that should never have passed - not bad action though!,"Apart from the action shots, I am still wondering how the premise of this movie even past the initial script read. Then again what actor wouldn't take on work where they get paid extortionate sums of money. Shocking storyline overall and if you really want to know what happens, I suggest watching the first 20 minutes then fast forwarding to the end!",0.0,negative,1,1,1,1,1
39,12 Strong,I didn't see anyone reload once.,I didn't see anyone reload once.,1.0,neutral,1,0,1,1,1
40,Infinite,I enjoyed it!,"Action, great scenes and a bit of philosophy!",2.0,positive,1,0,1,1,1
41,Infinite,"Decent concept, average execution",This movie is a fun watch and a good core concept but the world building and character introductions and fleshing out was rushed,2.0,positive,0,0,1,0,0
42,Boss Level,Fun movie totally RUINED...,"...by the cut Amazon made to the ending.The original ending sounds fine.  Like this it makes no sense at all, and is infuratingly incoherent.  Joe Carnahan should be spitting bullets.",0.0,negative,1,0,0,0,0
43,Kong: Skull Island,Three Stars,fair a better story would have made the film,1.0,neutral,1,1,1,0,1
44,John Wick Chapter 2,worse than bad,"Terrible....not even worth 1 star. How can they make rubbish like this? Poor script, bad acting and mindless violence. Talk about the dumbing down of popular culture!",0.0,negative,1,1,1,1,1
45,Godzilla: King Of The Monsters,A monstrously great disaster movie.,I love the guy in rubber suit godzilla and this does it justice. The steel tin is superb too,2.0,positive,1,1,1,1,1
46,Boss Level,Unexpectedly fun,"Boss Level doesnt break any new ground. We've seen the concept play out in other movies and even TV shows. But for those craving an action distraction, its a reasonably entertaining and fun watch",1.0,neutral,1,1,0,1,0
47,Assault on Station 33,A truly terrible movie,"Possibly the worst action movie of 2021 so far, at times I was struggling to stop laughing as it's almost funny.",0.0,negative,1,1,1,1,1
48,The Tomorrow War,"Simple, dumb fun","An average action movie, but fun never the less. Would recommend Edge of Tomorrow instead.",1.0,neutral,1,1,1,1,1
49,The Grey,just plain amazing,"This film has a deep meaning, and words cannot describe how good this film is. People are comparing it to taken but its a totally different film. Just get this film!",2.0,positive,1,0,1,1,1
50,Inferno,Three Stars,Very poor story line for Tom Hanks movie,1.0,neutral,1,1,1,1,0
51,Blade Runner 2049,Two Stars,It's a total waste of time and money.,0.0,negative,1,1,1,1,1
52,John Wick Chapter 2,Disappointing,"Not a patch on the first one, but still watchable.",1.0,neutral,1,1,1,1,1
53,Kong: Skull Island,Jurassic Kong,"It was enjoyable, the special effects where OK, and it only cost me £1.99. A bit predictable and reminiscent of Jurassic Park, but not as good, as the first one anyway.",1.0,neutral,1,1,1,1,1
54,12 Strong,Excellent,I thought it was a very good film and know enjoyed it,2.0,positive,1,1,1,1,1
55,The Hunger Games (4K UHD),Three Stars,strangely I didn't enjoy it as much as I thought I would,1.0,neutral,1,1,1,1,1
56,John Wick Chapter 2,Three Stars,good film not as good as first but still a good watch,1.0,neutral,1,0,0,1,0
57,John Wick Chapter 2,A good 'part 2' to the John Wick story,"We watched Chapter 1 not long ago, so was fresh in our minds and this is a good follow on chapter to the John Wick story.  It's a bit like Jack Reacher but with a lot less dialogue... John's a man of few words with a lot of guns :-)Chapter 1 was the better film - more of a story at the start, but this is good and easy entertainment for its genre.Not for the faint-hearted as its pretty violent but the fighting and consequences are real enough (basically you know he's not going to leave anyone around who could kill him later on!).Looking forward to seeing what happens next in Chapter 3",1.0,neutral,1,1,1,1,1
58,John Wick Chapter 2,Five Stars,Excellent would like film 3 in the triology,2.0,positive,1,1,1,1,1
59,Infinite,Excellent movie,Great storyline. Really good acting interspersed with special effects,2.0,positive,0,0,0,0,0
60,Infinite,on the fence,"Think it lacked something, a film like this with a very in-depth and rich history to it needs to be written and directed properly, it's just been made into a 90-minute action film with very poor casting. So much more could have been done with this film. There is one massive plot hole that broke the movie also, The main bad guy spent decades looking for this egg, why didn't he just make another one. He had time and the resources, the Heros were always on the back foot, outnumbered but yet they were the ones that beat him. Weak if you ask me.",1.0,neutral,1,1,1,1,1
61,Monsters of Man,Solid budget movie,"Decent if not very familiar storyline, maintains a fast action pace, enough so that the weak scripting doesnt hold it back.If you were a fan of Solo/Chappie, even to an extent short circuit and Soldier( kurt russell)/ terminator series, then this will all seem recognizableFor a take on modern warfare and the direction it will probably end up its a decent way to spend 2 hrs",2.0,positive,0,0,0,0,0
62,Cell,diffrent,"a good film and could be a classic cult film no spoilers from me just see it to make your own mind up .Steve king at  his finest , good actors as in john and Sam and co .",2.0,positive,0,1,1,0,1
63,Skyfall,a let down,"Placed in blue ray player home entertainment logo  came up and then nothing but a blank screen followed.DVD version pixelated in several areasSecond copy sent as replacement did exactly the same. not impressed, went to cinema to watch film",0.0,negative,1,0,1,0,1
64,Horizon Line,Don't waste the rum,"It wasn't that bad to be fair, bit far fetched in parts, but I enjoyed it.",1.0,neutral,1,1,1,1,1
65,Blade Runner 2049,Film was fine but I had trouble with the dialogue at first ...,Film was fine but I had trouble with the dialogue at first difficult to hear what they where saying,1.0,neutral,1,1,1,1,1
66,Kong: Skull Island,Great fun,"Good old fashioned action movie. Real Saturday morning pictures stuff ( if you don’t know what that means, ask an old person ).",2.0,positive,0,0,0,1,0
67,John Wick Chapter 2,Not bad,Not as good as the first one in my opinion. Saying that watchable,1.0,neutral,1,1,1,1,1
68,London Has Fallen,Bit of mindless violence..,Good bit of action..but it is essentially 'Olympus has been fallen ' in London.,1.0,neutral,1,1,1,1,1
69,The Tomorrow War,Very good,"Very good,Well 2h spent with good entertainment",2.0,positive,1,0,0,0,0
70,Kong: Skull Island,Don't bother.,If I could award half a star that unfortunately would be half a star to many. Very poor. Only glad I didn't waste my time going to this at the cinema.,0.0,negative,1,1,1,1,1
71,Olympus Has Fallen,plenty of great moves by our hero,love the film. Gerrard proves he can match some of the old school Hero's except this time he and the writers proved that you have to show these kind of characters in the true light.Gerrard doe not mess about with action poncing and kills the bad guys with brutal force. just as it is in real life. loved this guy. pitty the president wasn't as convincing,2.0,positive,0,0,0,1,0
72,Kong: Skull Island,"Not great, not terrible","Not great, not terrible.Jackson chews the scenry so hard he must have lockjaw.CGI scenery detracts rather than enhances at times.Some fun scenes with giant creatures.But the cliches, oh, the cliches. Slo mo helicopters flying into the sun. Dead man bingo. Jackson's Ahab complex.Once is enough, but a fun ride.",1.0,neutral,1,1,1,1,1
73,Inferno,Outstayed its welcome,"Not much point in saying that the Hanks/Langdon/Howard/Brown franchise has outstayed its welcome, but it has. The weakest of the three, so let's leave it there, shall we?",1.0,neutral,1,1,1,1,1
74,The Tomorrow War,Boring and Predictable,"The concept of the plot was good but beyond that, it was a fairly poor film. Every plot point, you could see a mile off and the first time the whitespikes appeared, I actually laughed at their noshy mouths. By the end, I didn't care if anyone survived.",0.0,negative,1,1,1,1,1
75,Blade Runner 2049,No adverse comments from me!,"Liked the original, enjoyed this update version, no adverse comments from me!",2.0,positive,0,1,0,1,0
76,The Hunger Games (4K UHD),Excellent.,Arrived when said they would.  Daughter has enjoyed them.  She said they were very good.  Not my cup of tea though.,2.0,positive,1,1,1,1,1
77,The Tomorrow War,Awful.  Just awful.,"Clichés, weak storyline, far too long.  Don't waste 2h15 of your life.",0.0,negative,1,1,1,1,1
78,The Tomorrow War,Not interesting enough.,"I could not stay interested in this film, and it seemed like Chris Pratt was the only only white man left in America.",0.0,negative,1,1,1,0,1
79,The Tomorrow War,Lots to like but...,"Chris Pratt just wasn't convincing for me in the character he portrayed and never is for me, no matter what he stars in..just my personal view.  Reasonable film with good special effects but Chris Pratt just cannot act - spoiled it for me.",0.0,negative,0,0,1,1,1
80,The Tomorrow War,Popcorn draft movie,Just wish They would get on with project bluebeam,1.0,neutral,1,1,1,1,1
81,Infinite,meeeeeehhh,"Decent basic idea and good start, but the sloppy and meaningless dialogues, the continuous template after template story build up ruined it. Started as a movie night, ended up a background noise.",0.0,negative,0,1,0,0,0
82,Olympus Has Fallen,Loved it!,"I love action films aswell as Gerald Butler as this was a winning combination for my self. I noticed a lot of people compared it to another film that has already been made but I have never seen them so I really loved this and didn't find any comparisons with it at all. It doesn't drag on like the usual actions films you get and it doesn't romanticise things either which is a bonus. A fantastic action packed film with a great price, what's not too love?!",2.0,positive,1,1,1,1,1
83,Kong: Skull Island,Two Stars,not as exciting much like the first king Kong,0.0,negative,0,0,0,0,0
84,John Wick Chapter 2,O_o,"Not a patch on the first, and only really serves to set up the second. Shame, because it could have been great. There appears to be one 'fight' scene, designed by an action game maker from the 1990s which is repeated over and over and over at different locations. OK to pass the time, but poor compared to the first",1.0,neutral,1,1,1,1,1
85,The Tomorrow War,wow.,"Not sure what cocaine fueled binge lead to this script and how it got even a cent to make is a crime.A movie so quick to kill off hundeds of characters yet will all of the off screen jumps and acrobatics to save both Chris Pratt's character and his father is beyond me. HOW THE IN THEIR RIGHT MINDS DID THEY FILM THE CLIMAX LIKE THAT.Seriously the worst use of a concept involving time travel with a budget put to screen. Just! Just to shoe horn in every trope known to man to then include the best ending ever where everyone lives with a few cuts and a sprained arm to boot.avoid at all costs unless for background noise, even then a better movie exists out there.. think about it for 5 seconds more and chose a different movie",0.0,negative,1,1,1,1,1
86,Olympus Has Fallen,Dreadful!,Words cannot explain how bad these films are.,0.0,negative,1,1,1,1,1
87,Blade Runner 2049,Three Stars,"was OK but enjoyed the original more ,too slow !",1.0,neutral,1,1,1,1,1
88,The Tomorrow War,"Snooze, seen it all all before, more aliens wiping out 'people' kind","Schmaltzy Drivel. Edge of Tomorrow, A Live Die Repeat/alien invasion travel wanna-be with buckets of pathos.",0.0,negative,1,1,1,1,1
89,Infinite,"If I have to spend another lifetime watching this, I will top myself","Great opening which rapidly dives towards cliched absurdity with familiar tropes, cardboard characters and predictable sub plots.  This is a TV series at best.  A hopelessly miscast Wahlburg struggles and fails to deliver in the role of the reluctant believer.  I feel his pain.  I bet he is embarrassed by this one.",0.0,negative,0,1,1,1,1
90,Honest Thief,Ok-ish movie,"It's not going to be a contender for the Oscars, but it was an ok-ish movie with some acceptable production values even though much was utterly implausible.  FBI's most wanted goes in plain sight to a bus station and even takes a patient out of a hospital and nobody notices.  No following CTV with facial recognition features?  I saw it as part of my Amazon Prime package so at least it didn't cost me anything to watch it.",1.0,neutral,1,1,1,1,1
91,Inferno,"COMPLEX MISHMASH OF IMPOSSIBILITIES , DONT WATCH LATE AT NIGHT , SLEEP WILL BE IMMINENT FROM START .","Very fast paced trip to nowhere . My 146 iq could not make head nor tail of it .The premise is fine , but the numbers alice in wonderland . I think the so called cinematographers were all on speed , The film was 120 mph on a b road , we all know what happens then .",1.0,neutral,1,1,1,1,0
92,Boss Level,Great twist to groundhog day,"fresh, fun, action. really enjoyable film",2.0,positive,1,1,1,0,1
93,Escape Plan II,3/5,Didn’t like it compared to the original,1.0,neutral,1,1,1,1,1
94,The Tomorrow War,Great but could have been epic,Excellent film though the comedic side makes it slightly imbalanced. In my opinion there was no need as this movie would have been even better as a cold hard no-nonsense Sci-fi action thriller.  Chris Pratt's performance as well as other actors try to bring levity to the harsh truths of this cinematic reality which kind of messes with the immersive flow and build of the movie.  This aside its definitely worth a watch 8/10,2.0,positive,0,1,1,0,1
95,Blade Runner 2049,The Worst Film I've Ever Seen.,"I've been watching films for over 70 years and this was terrible. The first Blade Runner was bad enough, but this? Long meaningless silences - conveying deep thoughts? I don't think so. LAPD still there in a futuristic world? Why? to keep US audiences happy? Failed on every level. Old hat, predictable, obvious, pitiful dialogue and an old age pensioner still going strong. And why the dog? A truly awful film probably OK for adolescents who do a lot of ""on-line gaming"". And I rented it! Harry Enfield's comedy shop ""I Saw You Coming"" sums this film up perfectly. Even one star is a star too many.",0.0,negative,1,1,1,1,1
96,The Marksman,"Tired, underwhelming, predictable.","This film feels like it's 25 years old. Tired, predictable tropes, you've seen it all before. Lazy, uninspired writing followed up by mediocre acting.Call your Mom. Go for a walk. Cook something new. Do something positive, don't waste your time on this.",0.0,negative,1,1,1,1,1
97,London Has Fallen,Yes - worth a look,Great when the weasel euro politician met his end !,1.0,neutral,0,0,0,0,0
98,London Has Fallen,Three Stars,"The films was ok but wasn't as good as Olympus Has Fallen, it all seemed a bit predictable.",1.0,neutral,1,1,1,1,1
99,The Grey,Not as bad as some says,"Not as bad as some says, and not as good as a FEW says, but a good/okay little adventure-thriller, that kept me interested for the full running time!",1.0,neutral,1,1,1,1,1
100,The Tomorrow War,"Obvious, unoriginal.","Script no 7. Nothing new or original, very slow in places.",0.0,negative,0,1,1,1,1
101,Blade Runner 2049,Five Stars,My favourite 2017 film!Great job.A sequel equal or maybe better than the first Blade Runner movie.,2.0,positive,0,1,1,0,1
102,Blade Runner 2049,Experience a new world in sound & picture,Special effects experience amazing,2.0,positive,1,1,1,1,1
103,Spectre,Three Stars,Good but a bit slow thought there would be more action,1.0,neutral,1,1,1,1,1
104,The Tomorrow War,Seriously?,"Poor man's ""Live DIe Repeat"" with no panache.",1.0,neutral,1,1,1,1,1
105,Casino Royale,Not as different as you may be led to believe,"The hype surrounding this film was that it was a dark, realisic spy film. Akin more to Bourne than previous bond. Without the usual whitty quips and traditional unrealstic stunts.To be honest, this just isn't true. Bad guys still have a total inability to shoot straight, Bond still never feels like he's in any real danger, whether poisoned, tortured or shot at, and the action pieces are still far from realistic.Casino Royale is a progression of the Brosnan movies, but it's not a revolution by any means.Saying that it's still a good film. Bond, as usual, is tracking down the villain, beind double crossed at every turn and as ever under the thumb of M. There are elements that have been lost, no more Q, no more gadgets and Daniel Craig is now the eye candy.Personally this feels like a watered down Bond film, without the gritty style or realisticness that has been touted. I do believe the Bond films needed an overhaul, but I'm not sure this was it.",1.0,neutral,1,1,1,1,1
106,The Tomorrow War,"Just on the bad side of ""fine""",Not great. Not terrible. Just worse than fine. Switch off your brain (definitely required on many levels) and go with it. It does drag on and I found myself checking how long was left. A wasted opportunity with the budget and actors.,1.0,neutral,1,0,1,1,0
107,Blade Runner 2049,One Star,Very disappointed. It was boring. We fell asleep. Not worth watching.,0.0,negative,1,1,1,1,1
108,John Wick Chapter 2,not as good as the first one,Do not expect any finesse here ....A bit too violent for my taste . Giving it 3 stars is generous and won`t watch it a second time.,1.0,neutral,1,1,1,1,1
109,The Tomorrow War,Switch your brain off and enjoy,"Doesn’t pretend to be anything more than it is…a big , dumb entertaining action film.",2.0,positive,1,0,0,1,1
110,Spectre,Disappointed,Not as good as previous Bond films,1.0,neutral,1,1,1,1,1
111,Kong: Skull Island,Meral Gear Giant Monkey,A pleasant surprise with imagery reminiscent of Hideo Kojima's Metal Gear video game franchise. It will be interesting to see this Kong take on Godzilla in A few years time. Just switch off and have a good time with this one. Subverts a few action/adventure tropes. The main star of the show is King Kong!,2.0,positive,0,0,1,0,1
112,Kong: Skull Island,Trash and not in a good way,"Utter trash - I fear for the future Godzilla, etc, follow ups.",0.0,negative,0,1,1,0,1
113,Olympus Has Fallen,Utterly ridiculous,"Sure this film has a few highly rated actors in it like Morgan Freeman and others.Big names do not, however make a good movie on their own.The plot was absolutely laughable, obviously the script writer has no idea about military protocol.It seems this film is about propaganda, flag waving and the idea of one mans fight to succede against all costs.The whole idea is a total joke. The supporting premises about the White House being easily taken was ludicrousplus the fact that once superceded, the old President is expendable in order to defend the country.Save your money folks, it really is that bad. Highly not recommended.",0.0,negative,1,1,1,0,1
114,Horizon Line,Terrible film,"Where do I start, the lead characters are not only stereotypical pretentious middle class people that are completely unlikable, and remind me of the inbetweeners 2 scene, where backpackers are trying to out do each other.Her - ""Im a brand strategist""Him - ""been there got the corporate tshirt""Believe the sequel is gonna be there at an anti capitalism march in central London, while trying to navigate their way back to their Kensington apartment with only Starbuck Soy Coffees to survive on, all while filming it for the 'gram on their latest Apple Iphones.The plot isnt much better, and it is what is expected, but totally unbelievable, but thats covered up by the poor acting.Would give it a wide miss.",0.0,negative,1,0,1,1,1
115,Blade Runner 2049,Too bewildered to run myself.,"Couldn't see some of it, couldn't hear some of it, couldn't understand most of it. Went to the trouble of watching the original and superior version hoping for some sort of cohesive follow up. No such luck. I'm sure lots of people will enjoy it - not me. Why were the bees there?",0.0,negative,1,1,1,1,1
116,Godzilla: King Of The Monsters,Fiiiiight!,"Went in expecting a reasonable but not great movie about giant monsters having a ruck. Came out feeling overwhelmed with satisfaction. There are big monsters fighting in it, a lot!  That's what I went for, not the human characters, though there always has to be an element of that to give the movie a plot.  There isn't much of a plot or much need for one, but it ticks the box and then some. Also great that there wasn't really a bad guy (other than ghidorah), everyone was trying to do the ""right thing"" which was very refreshing. There was the clichéd annoying kid role in it, but she wasn't actually annoying!There are practical effects in it as well as cgi.I just found the whole thing quite refreshing and thoroughly enjoyed myself for the 2+ hours it ran.",2.0,positive,1,0,1,0,0
117,London Has Fallen,"Watchable, but nothing to write home about.","A good film, the script is odd in places. People seem to say things that don't fit the situations... The CGI is a little off in places too. But its watchable.",1.0,neutral,1,1,1,1,1
118,The Tomorrow War,meh,action wise and cgi wise id give it a 4/10.storyline was ok ish.unfortunately the script and the subsequent acting was quite poor.youd watch it once for the fact it has chris pratt as lead actor but afterwards youd forget it.,0.0,negative,1,1,1,1,1
119,Blade Runner 2049,Bladerunner sequel that I wanted...,"Man I was worried about this movie..... I watched Bladerunner twice in the same week at my local theatre in 1982 and its been a core favourite since. I owned it on almost every format, including the different versions. But when I sat and watched this movie at the cinema I was surprised that I like it very much as a sequel to one of my favourite movies of all time. So when I watched the Blu-ray of this on my 49' LED with 5.1 Surround Sound this was even better than at our poorly equipped cinema. This is a great movie with the potential to become a classic.",2.0,positive,1,1,1,0,1
120,Godzilla: King Of The Monsters,If you have Netflix or Amazon wait for it not worth purchasing,Mediocre sci-fi nothing to recommend rather tedious,1.0,neutral,0,0,1,0,0
121,Blade Runner 2049,A bit too long,It's an interesting idea and a reasonable story but it is slightly too long in places where it shouldn't be and it doesn't always hit all the right notes.,1.0,neutral,1,1,1,0,1
122,London Has Fallen,story line a bit far fetched but good action sequences,"somewhat predictable, story line a bit far fetched but good action sequences",1.0,neutral,1,1,1,1,1
123,Monsters of Man,a bit long winded,"Could have been half the length with fewer whiny American tourists. The most interesting character, ""Johnny 4"", should have been featured more and it's arc could have been better developed. Number 4 jumps from ""kill all humans"" to ""save all humans"" without much persuasion from a very insulting ex-navy seal that swears at it until it sees redemption, like it's a glitching laptop.",0.0,negative,0,1,1,0,1
124,Blade Runner 2049,Decades of waiting for this! Pathetic!,"Woeful movie, boring, sleep inducing!Stupid storyline, incoherent plot!I would rather gouge out my eyes with a blunt spoon than watch this movie ever again!",0.0,negative,1,1,1,1,1
125,Spectre,Three Stars,Not the best Bond  ffilm lve seen,1.0,neutral,1,1,1,1,1
126,Kong: Skull Island,Selected prime to view but charged for hire,Film kept stopping for no apparent reason.other films played ok plus I thought it was on prime but have been charged for it.,1.0,neutral,1,1,1,1,1
127,Kong: Skull Island,Three Stars,"Not the best version, but an easy way to spend a couple of hours,",1.0,neutral,1,1,1,1,1
128,Boss Level,Great fun!,"Very enjoyable film. Premise means it is more like watching a live action computer game. Comic book violence played for laughs. Ending suggests the possibility of a sequel, hope so.",2.0,positive,1,0,0,0,0
129,The Hunger Games (4K UHD),"Good, but could have been better.","This review applies only to DVD (ASIN:B0063FQREO). The aspect ratio is as expected and the average bitrate is 5023kbps. The picture and sound are both good.The movie is well made, the acting is very good, but I still prefer the book to the movie. I'm guessing it needed a 12A certification, so you only see the before and after when it turns violent.",2.0,positive,1,1,1,1,0
130,The Hunger Games: Mockingjay Part 1,Was not worth the buy. Would wait for both ...,Was not worth the buy . Would wait for both parts to come out . As one this had no solid story behind it !,1.0,neutral,0,0,0,0,0
131,Olympus Has Fallen,NOT BAD,"ENTERTAINING FOR THE MEN, SLIGHTLY FAR FETCHED BUT ON THE WHOLE ENJOYABLE. SEEMED A BIT PREDICTABLE HOWEVER I WOULD SAY IT FILLED A COUPLE OF HOURS WHEN YOU JUST WANT TO BE ENTERTAINED.",2.0,positive,0,0,0,0,0
132,Spectre,Poor. more of a kids film,I thought it was pathetic. Not like the old bond films,1.0,neutral,1,0,0,1,1
133,The Hunger Games (4K UHD),"It's okay; not bad, not great, just okay.","It's not a bad film. I don't resent the time spent to watch it. However, it's not great. Battle Royale has the same basic premise, but is far more exciting (imho).All in all, watch it if you have nothing better to do,...",1.0,neutral,0,0,1,1,1
